Módulos,Etapa,Funcionalidad,,Acción,✅ Incluye,❌ No incluye,Adicionales,"Trazabilidad
(MR / VP / BOS)","Objetivo estratégico
que soporta","Resultado visible
para el usuario","Definición funcional
detallada","Cómo debe mostrarse
(UX/UI)","Criterio de aceptación
MVP / QA","Guardrails de alcance
y relato",Actividades Leonardo,Actividades Miguel,Estimacion Tiempos
,,Gamificación,,"Gamificación básica (puntaje, Perfil/ranking financiero u otro)",,,,VP 3.1 emocional | BOS 9 Salida,Reforzar pequeñas victorias que sostengan uso sin desviar el producto hacia entretenimiento.,El usuario percibe avance o reconocimiento por conductas útiles dentro del MVP.,"Gamificación básica resuelta con puntaje, hitos, perfil o ranking personal simple, siempre ligado a conductas útiles del MVP como registrar, cumplir pagos o mantenerse dentro del presupuesto.","Elemento secundario y discreto. Debe acompañar el flujo funcional, no competir visualmente con deuda, pagos o presupuesto.",Existe al menos un mecanismo visible de logro o puntaje asociado a una acción útil del usuario.,"No agregar competencia social, rankings públicos ni una capa profunda de gamificación que reemplace el valor funcional.",,,
,,,,Visualizar logros del día,,,,VP P5 | BOS 9 Continuidad,Dar señal de progreso inmediato para sostener recurrencia.,Ve un logro del día o una micro-victoria.,Widget simple con logro reciente o tarea cumplida.,"Mensaje positivo, corto y concreto; no infantil.",El home refleja al menos una victoria visible cuando exista evento.,No exagerar tono emocional ni usar mecánicas complejas.,,,
4,Motor de deudas (Bola de Nieve),Registrar deudas ,,"Ingesta de datos manualmente (Monto, tasa, pago, fechas de vencimiento)","
Adjuntar documentos bancarios (ej: cartola ultimos movimientos).
Almacenamiento en base de datos.
Ordenamiento automático por prioridad (método bola de nieve).
Proyección básica de capacidad de ahorro a liberar.
Visualización plan de salida

La categorización será:
Regla simple por palabra clave
No modelo entrenado","Consolidación automática de deudas bancarias.
Renegociación automática.
Conexión directa con bancos para pago.

","Validación automática del documento (Extrae datos y los ingresa a la BD)
Clasificación automática con IA.","MR 3, 6, 7, 7.1, 9 | VP 3.2, 3.3, 5.1, P1, P3, P4 | BOS 4, 6, 9, 10",Construir el núcleo del MVP para salir del rojo con una carga de datos viable.,"El usuario registra su deuda, entiende prioridad y obtiene un plan básico de salida para recuperar capacidad de ahorro.","Alta manual de deuda con datos mínimos alineados al cálculo base: nombre o acreedor, monto bruto/principal cuando aplique, deuda actual, pago mínimo, interés o costo financiero cuando exista, número de cuotas pactadas y cuotas pendientes si aplica, y vencimiento. A partir de esa base el sistema aplica la lógica de bola de nieve para V1: orden principal por menor deuda actual, mantenimiento de pagos mínimos en las demás deudas y reasignación de la capacidad de ahorro recuperada a la siguiente deuda al cerrar una. El adjunto documental es apoyo, no requisito para comenzar.","Flujo guiado paso a paso, con explicación simple de por qué se pide cada dato y cómo impacta el plan. Debe ser evidente que el orden sugerido sigue una lógica entendible y orientada a recuperar capacidad de ahorro, no una caja negra.","Puede crear una deuda, guardarla y ver de inmediato su ubicación dentro del orden sugerido o del plan, usando los campos mínimos requeridos por la lógica de bola de nieve.","No asumir consolidación bancaria, renegociación, pago desde la app, ni reemplazar la lógica base de bola de nieve por un ranking opaco fuera del alcance aprobado.",,,
,,,,Adjuntar cartolas o últimos movimientos ,,,,"MR 5.4, 8.1, 9 | VP 3.3, 5.1, P3 | BOS 6 Crear diagnóstico inicial","Acortar el tiempo al primer valor, capturar deudas de forma automática y habilitar diagnóstico inmediato sin esperar un mes de uso manual.","Si sube cartolas o últimos movimientos, en los primeros minutos el sistema identifica deudas potenciales no registradas (por ejemplo, compras en cuotas y saldo de línea de crédito), y entrega una lectura inicial de salud financiera, categorías sugeridas y primeras recomendaciones.","Permitir adjuntar cartolas o últimos movimientos de uno o varios meses recientes en los formatos definidos por el proyecto. El foco de esta sección es identificar deudas que el usuario no haya ingresado manualmente y sugerirlas como registros potenciales para incorporarlas a la bola de nieve (por ejemplo, compras en cuotas, saldo de línea de crédito u otras obligaciones recurrentes). Adicionalmente, esta información alimenta el diagnóstico inicial, el presupuesto sugerido, el semáforo y las primeras recomendaciones apenas el usuario se enrola.

Debe presentarse como un paso altamente recomendado si el usuario quiere saber “cómo está hoy”. El sistema debe intentar leer automáticamente datos básicos cuando sea posible y, si la lectura no es suficiente, habilitar una instancia de revisión y corrección manual antes de guardar.","Entrada visible y bien explicada: qué archivo sirve, por qué conviene subirlo para saber “cómo está hoy”, qué datos intentará leer el sistema (incluida la detección automática de deudas) y qué ocurre si el archivo no puede procesarse por completo.","Flujo sin bloqueo: el usuario puede adjuntar el archivo, revisar lo detectado, corregir o completar manualmente (incluyendo confirmar/descartar deudas sugeridas), y el sistema refleja esa carga en el diagnóstico inicial, categorías sugeridas, deudas a incorporar (bola de nieve) y metas por categoría o presupuesto base.","No vender esta función como open finance completo, no exigir extracción perfecta y no obligar a subir archivos para usar la app.",,,
,,Registrar movimientos,,Categorización automática de los movimientos,,,,"MR 5.4, 7.1, 8.1 | VP 3.2, 3.3, 5.1, P1, P3, P4 | BOS 4, 6, 9","Reducir el trabajo manual y detectar movimientos que deben alimentar Bola de Nieve o Pagos, sin confundirlos con el armado base del presupuesto. Además, cada registro debe incorporar la institución financiera (o entidad donde están los fondos) para que el usuario, además de contar con una vista consolidada, pueda visualizar en un solo lugar cómo se distribuyen sus flujos entre cuentas, bancos y fuentes de dinero.","El usuario ve sugerencias cuando un movimiento parece corresponder a pago de deuda, cuota, interés, mora o compromiso recurrente y puede enviarlo al módulo correcto.","La lectura automática de movimientos, documentos o cartolas en este punto no busca armar todo el presupuesto, sino identificar registros ligados a deuda y obligaciones. Debe detectar, con reglas por palabra clave, nombre de comercio o texto del documento/movimiento y con apoyo técnico opcional si el equipo lo necesita, señales como cuotas de tarjeta con o sin interés, cargos por línea de crédito, intereses, mora, avances, pagos de crédito de consumo u otros pagos de deuda no declarados por el usuario. Cuando encuentre coincidencias, la app sugiere una de dos rutas: (a) incorporarlo o vincularlo al módulo de Bola de Nieve si revela una deuda/financiamiento que debe entrar al plan o está lesionando la capacidad de ahorro; (b) asociarlo al módulo de Pagos si se trata de una obligación recurrente a controlar por vencimiento. También debe permitir asociar movimientos reales a deudas o cuentas ya registradas para mantener consistencia entre módulos. Esto opera sobre movimientos ya cargados y no agrega una nueva fuente de datos al alcance.","La sugerencia debe explicar por qué se detectó el movimiento, a qué módulo propone enviarlo (Bola de Nieve o Pagos) y qué acción puede tomar el usuario: vincular, crear, ignorar o corregir. Priorizar lectura simple y confirmación visible.","Ante un movimiento compatible, la app propone clasificación deuda/pago, permite confirmarla y, si el usuario acepta, crea o vincula el registro sin duplicar estructuras.",No confundir esta función con open finance completo ni con el armado base del presupuesto; no mover registros al plan o a pagos sin confirmación visible del usuario; no depender de IA opaca o de un modelo propio; y no tratar un apoyo técnico externo como una capacidad nueva del alcance. La institución/origen se registra solo como metadato de trazabilidad y consolidación de flujos a partir de los movimientos cargados por el usuario.,,,
,,Salida de deudas,,Ajustar pagos y ver impacto en tiempo de salida,,,,VP P1 | BOS 9 Uso,Permitir al usuario comparar esfuerzo vs tiempo de salida siguiendo la lógica de bola de nieve.,Ve cómo cambia la fecha de salida si ajusta pagos.,"Simulador básico dentro del plan de deuda para cambiar pago adicional mensual y, si producto lo habilita, un pago inicial único disponible. Debe recalcular impacto siguiendo la lógica de bola de nieve: mantener mínimos en las demás deudas, aplicar el extra a la deuda prioritaria y, al cerrarla, trasladar esa capacidad de ahorro recuperada a la siguiente deuda.","Controles simples y feedback inmediato sobre meses, fecha estimada y efecto del pago extra sobre la capacidad de ahorro recuperada.","Al ajustar el pago adicional disponible, cambia el tiempo estimado de salida y la capacidad de ahorro recuperada conforme a la lógica definida.",Sin escenarios avanzados multi-variable ni proyecciones a largo plazo fuera de la metodología base.,,,
,,,,"Visualizar orden de pago sugerido (pago minimo, interes, pago sugerido)",,,,VP P1 | BOS 4 Mensaje contundente,Hacer accionable la prioridad.,"Ve qué pagar primero, mínimo, interés y sugerencia.","Lista ordenada con criterios visibles y campos mínimos comparables: saldo/deuda actual, pago mínimo, interés o costo financiero cuando exista, y pago sugerido o extra aplicado según la lógica de bola de nieve.",Orden claro tipo 1-2-3; resaltar deuda prioritaria y explicar en lenguaje simple qué se paga mínimo y dónde entra el extra.,"El orden cambia según reglas y el usuario entiende por qué, incluyendo qué deuda recibe el extra y cuál mantiene pago mínimo.",No ocultar lógica ni convertirlo en caja negra; el criterio principal debe seguir la metodología de bola de nieve aprobada.,,,
,,,,Ver plan de salida de deudas (Resumen del plan),,,,"VP P1, P5 | BOS 9 Continuidad",Convertir prioridad en plan legible.,Ve resumen del plan y próximos pasos.,"Vista resumen con deudas, secuencia sugerida, hitos y fecha estimada, siguiendo el orden de la bola de nieve y mostrando cómo se va trasladando la capacidad de ahorro recuperada entre deudas.",Bloques simples y legibles; evitar tablas densas.,"El usuario puede leer el plan completo, entender la siguiente acción y reconocer cómo se compone su ruta de salida.",No usar términos financieros confusos ni escenarios complejos.,,,
,,,,Ver proyección de capacidad liberada ,,,,MR 7.1 | VP P4 | BOS 6 Potenciar capacidad de ahorro,Hacer visible cuánta capacidad de ahorro puede recuperar el usuario al ordenar su deuda.,El usuario entiende cuánta capacidad del mes podría recuperar al bajar deuda o evitar recargos.,"Mostrar una estimación simple del monto mensual que podría quedar disponible según el plan de salida o la reducción de recargos. Debe expresar la idea de “capacidad de ahorro recuperada”: cuando una deuda termina, ese mínimo deja de presionar el mes y puede reasignarse a la siguiente deuda o reflejarse como mayor holgura del presupuesto.","Destacar el monto con lenguaje cotidiano, por ejemplo “capacidad de ahorro recuperada” o “plata que vuelve al mes”, y explicar en una línea si proviene de deuda terminada, menor recargo o menor presión financiera.",El valor se actualiza cuando cambia el plan o los pagos y se muestra como un número entendible de capacidad de ahorro recuperada.,"No presentar esta cifra como ahorro garantizado, rentabilidad futura ni asesoría financiera formal.",,,
,,,,Ver listado de deudas priorizadas automáticamente,,,,VP P1 | BOS 5 Foco,Ordenar el caos en una sola vista.,Ve listado de deudas priorizadas automáticamente.,"Listado ordenado automáticamente por la lógica de bola de nieve definida para V1: menor deuda actual primero, manteniendo pagos mínimos en las demás; al cerrarse una deuda, su pago mínimo deja de presionar el mes y esa capacidad de ahorro recuperada se reasigna a la siguiente del orden.",Visual limpia con columnas mínimas y prioridad visible; incluir pista corta del criterio usado.,La lista se genera sin pasos manuales extra una vez cargadas las deudas.,"No mezclar con productos externos, refinanciamiento ni cambiar el criterio principal por tasa más alta salvo cambio explícito de producto.",,,
6,Presupuestos,Presupuestos,,Ingreso y agregar nueva subcategorías.,"Creación de presupuesto por categoría.
Definición de monto mínimo  y maxima por categoría.

Visualización:
Semanal
Mensual
Gráfica comparativa presupuesto vs gasto real.","Ajuste automático del presupuesto por comportamiento histórico.
Rebalanceo automático de categorías.
IA de recomendación avanzada.
Recomendaciones basadas en machine learning.",,"MR 7.1, 8.1 | VP 3.2, 3.3, P4, P5 | BOS 4, 6, 9",Transformar el presupuesto en una herramienta viva para hacer rendir mejor el sueldo y potenciar capacidad de ahorro.,"El usuario ve cuánto puede gastar, cuánto lleva y dónde se le está yendo liquidez sobre un presupuesto sugerido por la app que puede ajustar por categoría.","Presupuesto por categoría y subcategoría con comparación contra gasto real. Debe nacer de la estructura base del producto y, cuando exista información suficiente, del setup/importación inicial; el usuario revisa y ajusta metas por categoría para acercarse a su presupuesto ideal y potenciar capacidad de ahorro. Debe apoyar alertas tempranas, lectura de desvíos y detección de fugas o gastos hormiga según la regla de negocio definida para V1.","Priorizar semana y mes, mostrar categorías drenantes con claridad y usar mensajes de corrección concretos. El usuario debe leer con facilidad su meta sugerida, gasto real y desvío.","Puede revisar el presupuesto sugerido, ajustar metas por categoría, ver gasto real comparado y recibir una señal clara cuando una categoría se desborda.","No agregar rebalanceo automático, optimización avanzada ni recomendaciones basadas en ML fuera del alcance.",,,
,,,,"Visualizar categorías (Alimentación, transporte, compras, etc)",,,,VP P4 | BOS 9 Uso,Permitir lectura simple del gasto por rubro.,Ve categorías clave del mes.,Catálogo inicial de categorías relevantes para Chile/LATAM.,Iconos o nombres cotidianos; no demasiadas opciones visibles a la vez.,Categorías visibles y seleccionables en presupuesto y movimientos.,No partir con taxonomía infinita.,,,
,,,,Ingreso de categorías (Manual),,,,"VP P4, P3 | BOS 9 Mantenimiento",Dar flexibilidad sin romper simplicidad.,"Puede crear subcategorías acotadas cuando lo necesite, sin romper la estructura base del producto.","Alta manual de subcategoría dentro de una categoría base existente, con nombre y opcionalmente color/icono si producto lo mantiene. La estructura principal de categorías la define el producto para sostener orden y comparabilidad; las subcategorías que agregue el usuario deben ser acotadas y mantenerse dentro de esa estructura.","Flujo corto desde presupuesto o movimiento, dejando claro dentro de qué categoría base quedará la nueva subcategoría.",Subcategoría creada queda disponible y usable en la app dentro de su categoría base.,"No abrir alta libre de categorías base, árboles largos ni taxonomías caóticas; la estructura principal la define el producto.",,,
,,,,Recomendaciones de acuerdo al presupuesto,,,,"MR 7.1, 8.1 | VP P4, P5 | BOS 6 Elevar utilidad",Convertir los desvíos del presupuesto en una acción concreta de corrección.,"Recibe sugerencias útiles cuando una categoría compromete el mes, se desvía de su meta o reduce capacidad de ahorro.","Reglas simples vinculadas a umbrales, fugas, gastos hormiga y, cuando aplique, a la distancia entre la meta por categoría y el comportamiento real del mes. Las recomendaciones deben explicar qué categoría se desvió, por qué importa y qué ajuste simple podría evaluar el usuario para acercarse a su presupuesto ideal.","Cards o mensajes breves junto al presupuesto, con verbo de acción y referencia clara a la categoría afectada.","Cuando existe desvío relevante, la app despliega una recomendación contextual comprensible y vinculada a la categoría o meta afectada.",No usar mensajes genéricos ni prometer inteligencia avanzada que el MVP no entrega.,,,
