# Matriz de Trazabilidad Cliente v2.6 — variantes M1 (V01–V60)
# Fuente: Drive 'Copia de Walvy_M1_Matriz_Trazabilidad_Cliente_v2.6.xlsx' (id 1KiZo8pnFaMMEw2xyFSszYuDBexdhdKDs, modificada 2026-08-17). Extraída 2026-08-19.
# REEMPLAZA a bitacora/2026-08-05-revision-m1-v3/variantes-validacion.psv, que es PRE-v2.6:
#   ahí V29/V30 no traen la columna 'Validación Cliente' = Ajustar ni la decisión del PO, y por eso daban un esperado distinto.
# 'Comportamiento esperado' conserva el texto original; cuando 'Validación Cliente' dice Ajustar, manda la 'Decisión PO / Comentarios'.
ID Variante|Flujo / Subflujo|Variante / Escenario|Condición / Disparador|Comportamiento esperado|HU asociada|CA asociado|Regla de negocio asociada|Caso de Prueba|Nodo Figma|Clasificación de soporte|Validación Cliente|Decisión PO / Comentarios|ID Pendiente Cliente|Regla Walvy validada
M1-V11|Registro|Términos y Condiciones no aceptados|Campos válidos, T\&C sin aceptar|No habilitar creación de cuenta.|M1-HU-006|CA1-CA3|M1-RN-ACC-010 / M1-RN-ACC-011|CP-M1-ACC-006|3604:3925|Figma + QA|Aprobado|||M01-RGL-002
M1-V12|Registro|Política de Privacidad no aceptada|Campos válidos, Privacidad sin aceptar|No habilitar creación de cuenta.|M1-HU-006|CA1-CA3|M1-RN-ACC-010 / M1-RN-ACC-011|CP-M1-ACC-006|3361:2744|Figma + QA|Aprobado|||M01-RGL-002
M1-V13|Verificación de cuenta|Código en estado inicial|Cuenta creada; aún no se completa código|Mostrar ingreso/verificación de código; CTA según completitud.|M1-HU-007|CA1|M1-RN-ACC-012 / M1-RN-ACC-013 / M1-RN-ACC-032|CP-M1-ACC-007|3470:7580|Figma + QA / ciclo de código pendiente|Ajustar|Ampliar la condición de entrada: V13 aplica tanto inmediatamente después del registro como cuando una cuenta existente en pending_verification intenta iniciar sesión. No crear sesión completa; mostrar/reabrir Verificación de cuenta y permitir completar o reenviar OTP según M01-RGL-002 / M1-DP-010. No requiere nueva variante ni pantalla.|PD-M1-02|M01-RGL-001 / M01-RGL-002 / M1-DP-010
M1-V14|Verificación de cuenta|Código incorrecto|Usuario ingresa código inválido|No activar cuenta; informar error y permitir corrección según regla.|M1-HU-007|CA3|M1-RN-ACC-015|CP-M1-ACC-007|3470:7723|Confirmado por Figma + QA|Aprobado|||M01-RGL-002
M1-V15|Verificación de cuenta|Código correcto|Usuario ingresa código válido|Confirmar cuenta y avanzar a primer ingreso.|M1-HU-007|CA2|M1-RN-ACC-014|CP-M1-ACC-007|3470:7774|Confirmado por Figma + QA|Aprobado|||M01-RGL-002
M1-V16|Verificación de cuenta|Código vencido / reenvío|Temporizador finaliza o el código requiere reenvío|Habilitar tratamiento de reenvío/vencimiento conforme regla de Producto.|M1-HU-031|CA1-CA3|M1-RN-ACC-033|CP-M1-ACC-019|3470:7626|Figma solamente / decisión Producto|Ajustar|Decisión de Producto cerrada. Ver M1-DP-010 y AX-M1-001. Separar vigencia del OTP y temporizador de reenvío: el contador visible solo habilita solicitar un nuevo código; la expiración depende del TTL configurado. Baseline Walvy aceptado por Producto: OTP de 6 dígitos, TTL 10 min, reenvío a 60 s, máximo 5 intentos fallidos acumulados sin reinicio por reenvío, máximo 5 reenvíos en 15 min y cooldown de 15 min al superar el límite. Un nuevo código invalida el anterior; un código incorrecto, vencido, reutilizado o reemplazado no activa la cuenta. Kabeli debe ajustar D/E de V16 y M1-RN-ACC-032/033, mantener los parámetros configurables/versionados y confirmar los valores efectivos o justificar desviaciones. Aplicar rate limiting al menos por cuenta/correo, complementado por IP y, cuando sea viable, sesión/dispositivo; registrar eventos sin registrar el OTP.|PD-M1-02|M01-RGL-002
M1-V17|Recuperación de acceso|Usuario inicia recuperación|Selecciona “¿Olvidaste tu contraseña?”|Abrir Recupera tu acceso.|M1-HU-010|CA1|M1-RN-ACC-019|CP-M1-ACC-010|3470:7010|Figma + QA / regla funcional pendiente|Aprobado|||M01-RGL-003
M1-V18|Recuperación de acceso|Usuario tiene acceso al correo|Ingresa correo válido|Permitir envío de código.|M1-HU-010|CA2-CA3|M1-RN-ACC-020|CP-M1-ACC-010|3470:7010|Figma + QA|Ajustar|Precisar la condición y el comportamiento. El OTP se envía cuando el correo corresponde a una cuenta registrada; la respuesta visible del flujo de recuperación no debe confirmar si una cuenta existe o no. Este criterio se complementa con el control M01-SEC-003 de prevención de enumeración.||M01-RGL-003
M1-V19|Recuperación de acceso|Usuario no tiene acceso al correo|Usuario indica/no puede utilizar correo registrado|Derivar al mecanismo de soporte mostrado en diseño; operación debe confirmarse.|M1-HU-032|CA1-CA3|M1-RN-ACC-034|CP-M1-ACC-020|3470:7029|Figma solamente / validar operación|Aprobado|Decisión de Producto cerrada. Ver M1-DP-011. Si el usuario no puede acceder al correo registrado, Walvy lo deriva al canal de soporte definido en Figma (soporte@walvy.cl); el contacto con soporte no acredita identidad ni permite por sí solo cambiar correo, contraseña o acceso. Solo una verificación de identidad satisfactoria conforme al procedimiento de Seguridad/Operaciones habilita la recuperación. Si continúa sin acceso al correo actual, el correo sustituto debe ser distinto y verificarse antes de reemplazar al anterior; si recupera acceso al correo original, debe volver al flujo estándar. Al completar la recuperación deben renovarse credenciales, invalidarse sesiones previas y registrarse/notificarse el evento.|PD-M1-03|M01-RGL-003
M1-V20|Recuperación de acceso|Código válido|Código de recuperación correcto|Permitir crear nueva contraseña.|M1-HU-011|CA1|M1-RN-ACC-021|CP-M1-ACC-011|3361:2744|Confirmado por Figma + QA|Aprobado|||M01-RGL-003
M1-V21|Recuperación de acceso|Código inválido|Código de recuperación incorrecto|Bloquear avance y permitir corregir/reintentar conforme regla.|M1-HU-011|CA2-CA3|M1-RN-ACC-021|CP-M1-ACC-011|3361:2744|Confirmado por QA; ciclo pendiente|Aprobado|||M01-RGL-003
M1-V22|Recuperación de acceso|Nueva contraseña coincide|Nueva contraseña y confirmación son iguales|Habilitar guardado y retorno a Login.|M1-HU-012|CA1-CA3|M1-RN-ACC-022 / M1-RN-ACC-024|CP-M1-ACC-012|3655:2970|Confirmado por Figma + QA|Ajustar|La coincidencia entre nueva contraseña y confirmación no es condición suficiente. La nueva contraseña debe además cumplir la política vigente antes de habilitar el guardado y retorno a Login.||M01-RGL-003
M1-V23|Recuperación de acceso|Nueva contraseña no coincide|Nueva contraseña y confirmación son distintas|Mostrar error y mantener guardado deshabilitado.|M1-HU-012|CA2|M1-RN-ACC-023|CP-M1-ACC-012|3655:3058|Confirmado por Figma + QA|Aprobado|||M01-RGL-003
M1-V24|Primer ingreso|Completar datos|Cuenta verificada en primer acceso|Permitir completar nombre/apellido/alias según diseño y continuar.|M1-HU-008|CA1-CA3|M1-RN-ACC-016 / M1-RN-ACC-017 / M1-RN-ACC-018|CP-M1-ACC-008|3470:7207|Figma + QA / regla funcional pendiente|Aprobado|||
M1-V25|Primer ingreso|Omitir datos|Usuario decide omitir paso permitido|Continuar sin completar esos datos, conservando el estado correspondiente.|M1-HU-009|CA1-CA3|M1-RN-ACC-016|CP-M1-ACC-009|3470:7228|Figma + QA|Ajustar|Ajustar al comportamiento cerrado en Figma. La acción disponible es “Guardar y salir”: conserva la información ingresada y sale del flujo. No corresponde describirla como una omisión que continúa directamente al siguiente paso.||M01-RGL-007
M1-V26|Primer ingreso|Ofrecer biometría|Primer ingreso posterior a activación|Mostrar opción de activar biometría conforme disponibilidad del dispositivo.|M1-HU-033|CA1-CA3|M1-RN-ACC-035|CP-M1-ACC-021|4911:5511|Figma solamente / validar regla|Aprobado||PD-M1-04|M01-RGL-004
M1-V27|Onboarding|Bienvenida / activación|Usuario entra al onboarding|Explicar valor y ofrecer CTA dominante “Comenzar”.|M1-HU-018|CA1-CA3|M1-RN-ACC-029 / M1-RN-ACC-030 / M1-RN-ONB-001 / M1-RN-ONB-012|CP-M1-ONB-001|6670:13197|Confirmado Doc + Figma|Aprobado|||M01-RGL-005
M1-V28|Foco del Mes|Foco declarado|Usuario selecciona un objetivo|Registrar foco como declarado y usarlo como contexto; no debe superar señales críticas.|M1-HU-019|CA1-CA3|M1-RN-ONB-019 / M1-RN-ONB-011 / M1-RN-ONB-012|CP-M1-ONB-002|6670:13227|Confirmado Doc + Figma|Aprobado||PD-M1-05|M01-RGL-006 / RB-FM-001 / RB-FM-002 / RB-FM-003
M1-V29|Foco del Mes|Foco no declarado|Usuario continúa sin seleccionar foco|Permitir continuar; registrar no declarado y no bloquear carga documental.|M1-HU-019|CA1-CA3|M1-RN-ONB-019 / M1-RN-ONB-011 / M1-RN-ONB-012|CP-M1-ONB-002|6670:13290|Documentado; representación UI a confirmar|Ajustar|Ajustar la continuidad. Si el usuario posterga la selección de foco, debe conservarse el estado pendiente y aplicarse la salida de postergación; no corresponde describir esta acción como avance directo a carga documental.|PD-M1-05|M01-RGL-007
M1-V30|Foco del Mes|Foco inferido/sugerido|No existe foco declarado y hay señales de comportamiento|Puede registrarse como inferido/sugerido; comunicarlo como aproximación y sujeto a regla de Producto.|M1-HU-019|CA1-CA3|M1-RN-ONB-019 / M1-RN-ONB-011 / M1-RN-ONB-012|CP-M1-ONB-002|3361:2744|Documento solamente / UI a validar|Ajustar|Decisión de Producto cerrada. Ver M1-DP-002 y AX-M1-002. Cuando no exista Foco del Mes activo y haya una versión válida del Diagnóstico, Walvy puede sugerir un foco usando la lectura consolidada de M04, M06 y M05 con prioridad M04 → M06 → M05. M04 deriva a Bajar deuda; M06 a Evitar atrasos cuando exista riesgo temporal de pago/vencimiento y, en caso contrario, a Ordenar compromisos; M05 a Aumentar margen, Ahorrar un monto o Cumplir presupuesto según la señal dominante y las condiciones ya documentadas. La sugerencia se presenta con CTA primario “Usar este foco”, que la guarda directamente como foco activo, y secundario “Revisar foco”, que lleva a Mi Perfil → Mi foco del mes con la opción sugerida premarcada. Si no se acepta, el foco permanece no declarado y puede recalcularse con una nueva versión válida del Diagnóstico. Una vez aceptado, no se reemplaza automáticamente. Ajuste requerido a Kabeli: actualizar D/E de V30 y complementar M1-RN-ONB-019; usar únicamente el estado “sugerido”.|PD-M1-05|RB-FM-004 / RB-FM-006 / M1-DP-002
M1-V31|Foco del Mes|Bajar deuda|Usuario selecciona Bajar deuda|Guardar objetivo y usarlo como contexto de experiencia sin ocultar señal crítica.|M1-HU-019|CA1-CA3|M1-RN-ONB-020 / M1-RN-ONB-012|CP-M1-ONB-002|6670:13227|Confirmado Doc + Figma|Aprobado||PD-M1-06|M01-RGL-006 / RB-FM-001
M1-V32|Foco del Mes|Ahorrar un monto|Usuario selecciona Ahorrar un monto|Guardar objetivo y usarlo como contexto.|M1-HU-019|CA1-CA3|M1-RN-ONB-020 / M1-RN-ONB-012|CP-M1-ONB-002|6670:13227|Confirmado Doc + Figma|Aprobado||PD-M1-06|M01-RGL-006 / RB-FM-001
M1-V33|Foco del Mes|Aumentar margen|Usuario selecciona Aumentar margen|Guardar objetivo y usarlo como contexto.|M1-HU-019|CA1-CA3|M1-RN-ONB-020 / M1-RN-ONB-012|CP-M1-ONB-002|6670:13227|Confirmado Doc + Figma|Aprobado||PD-M1-06|M01-RGL-006 / RB-FM-001
M1-V34|Foco del Mes|Evitar atrasos|Usuario selecciona Evitar atrasos|Guardar objetivo y usarlo como contexto.|M1-HU-019|CA1-CA3|M1-RN-ONB-020 / M1-RN-ONB-012|CP-M1-ONB-002|6670:13227|Confirmado Doc + Figma|Aprobado||PD-M1-06|M01-RGL-006 / RB-FM-001
M1-V35|Foco del Mes|Cumplir presupuesto|Usuario selecciona Cumplir presupuesto|Guardar objetivo y usarlo como contexto.|M1-HU-019|CA1-CA3|M1-RN-ONB-020 / M1-RN-ONB-012|CP-M1-ONB-002|6670:13227|Confirmado Doc + Figma|Aprobado||PD-M1-06|M01-RGL-006 / RB-FM-001
M1-V36|Foco del Mes|Ordenar compromisos|Usuario selecciona Ordenar compromisos|Guardar objetivo y usarlo como contexto.|M1-HU-019|CA1-CA3|M1-RN-ONB-020 / M1-RN-ONB-012|CP-M1-ONB-002|6670:13227|Confirmado Doc + Figma|Aprobado||PD-M1-06|M01-RGL-006 / RB-FM-001
M1-V37|Carga documental|Sin documento cargado|No existe archivo seleccionado|Mostrar estado listo para cargar; CTA cargar cartola/documento.|M1-HU-020|CA1-CA3|M1-RN-ONB-002 / M1-RN-ONB-006 / M1-RN-ONB-021|CP-M1-ONB-003|6670:13168|Confirmado Doc + Figma|Aprobado||PD-M1-07|M01-RGL-009
M1-V38|Carga documental|Documento seleccionado / subiendo|Usuario selecciona archivo|Mostrar progreso de carga y mantener continuidad.|M1-HU-020|CA1-CA3|M1-RN-ONB-002 / M1-RN-ONB-021|CP-M1-ONB-003|6459:8023|Confirmado Doc + Figma|Aprobado||PD-M1-07|M01-RGL-009
M1-V39|Carga documental|Documento usable|Archivo permite extraer información relevante|Continuar a revisión/suficiencia.|M1-HU-025|CA1|M1-RN-ONB-004 / M1-RN-ONB-008|CP-M1-ONB-011|6672:8252|Confirmado Doc + Figma|Aprobado|||M01-RGL-009 / M01-RGL-012
M1-V40|Carga documental|Documento no usable/no procesable|Archivo no permite extracción relevante o no corresponde|No habilitar diagnóstico; pedir subir otro/revisar archivo.|M1-HU-022|CA1-CA3|M1-RN-ONB-006 / M1-RN-ONB-007|CP-M1-ONB-007|3361:2744|Documentado; pantalla exacta a validar|Aprobado|||M01-RGL-010
M1-V41|Carga documental|Documento con contraseña|Archivo protegido requiere tratamiento|Solicitar contraseña o tratamiento definido en diseño; regla técnica/seguridad debe formalizarse.|M1-HU-034|CA1-CA3|M1-RN-ONB-022|CP-M1-ONB-021|6672:7841|Figma solamente / formalizar regla|Aprobado|Decisión de Producto cerrada. Ver M1-DP-003. Baseline Walvy: para un documento protegido asociado al RUT, intentar como máximo tres variantes automáticas, una vez cada una y detenerse al abrir: (1) RUT numérico completo sin dígito verificador, (2) últimos 4 dígitos sin DV y (3) primeros 4 dígitos sin DV. Si ninguna funciona, solicitar contraseña manual. Una contraseña manual incorrecta permite corregir/reintentar o cargar otro documento, sin bloquear la cuenta ni crear un contador propio de Producto para el MVP. Ninguna contraseña automática o manual debe persistirse ni registrarse en logs, analytics, eventos o checkpoints. Kabeli/Seguridad debe validar catálogo, orden, manejo temporal seguro, ausencia de persistencia y comportamiento de error, e informar cualquier restricción que exija modificar este baseline.|PD-M1-08|M1-DP-003 (baseline funcional/técnico PO; validación Kabeli/Seguridad pendiente)
M1-V42|Carga documental|Documento desactualizado|Dato existe pero no corresponde al período/vigencia|Reducir confianza o pedir corrección; no tratar como base suficiente sin regla.|M1-HU-034|CA1-CA3|M1-RN-ONB-023 / M1-RN-ONB-008|CP-M1-ONB-022|3361:2744|Documento solamente / UI a validar|Aprobado||PD-M1-09|M01-RGL-010
M1-V43|Carga documental|Documento duplicado|Documento ya fue cargado/detectado como duplicado|Aplicar tratamiento productivo definido; evitar duplicar información.|M1-HU-034|CA1-CA3|M1-RN-ONB-024 / M1-RN-ONB-008|CP-M1-ONB-023|3361:2744|Documento / validación técnica-producto|Ajustar|Decisión de Producto cerrada. Ver M1-DP-004. La deduplicación debe operar por cuenta/usuario mediante una huella de contenido (hash o token equivalente) sin requerir almacenamiento permanente del archivo. Si la misma huella corresponde a un documento procesado correctamente y permanece vigente, no admitir una nueva carga ni reprocesarla; informar que el archivo ya fue cargado y evitar duplicar datos/suficiencia. Si el procesamiento anterior falló por una causa técnica transitoria, permitir retry/reprocesamiento sin tratarlo como duplicado. Si el documento fue determinísticamente no procesable, puede conservarse temporalmente la huella junto con motivo y versión del procesador para evitar reprocesamientos idénticos hasta su expiración o cambio de procesador. Kabeli debe ajustar D/E y M1-RN-ONB-024, manteniendo el archivo como insumo temporal y la metadata mínima necesaria para deduplicación.|PD-M1-09|M1-DP-004
M1-V44|Procesamiento|Procesamiento normal|Documento cargado y análisis en curso|Mostrar progreso guiado.|M1-HU-021|CA1|M1-RN-ONB-002 / M1-RN-ONB-008|CP-M1-ONB-004|6459:8394|Confirmado Doc + Figma|Ajustar|Completar el comportamiento esperado. Durante el procesamiento debe mostrarse el progreso y permitirse continuar más tarde o salir sin perder los documentos ni el avance, conservando el estado necesario para retomar cuando corresponda.||M01-RGL-014 / M01-RGL-008
M1-V45|Procesamiento|Demora suave|Análisis supera umbral configurable inicial|Mostrar que tarda más de lo esperado y permitir esperar o salir sin perder avance.|M1-HU-021|CA1-CA3|M1-RN-ONB-013 / M1-RN-ONB-014 / M1-RN-ONB-018|CP-M1-ONB-006|6670:13533|Doc + Figma / parámetro por validar|Aprobado||PD-M1-10|M01-RGL-014 / M01-RGL-008
M1-V46|Procesamiento|Demora extendida|Análisis supera segundo umbral configurable|Ofrecer salida segura: avisarme/volver después/seguir esperando según implementación.|M1-HU-021|CA1-CA3|M1-RN-ONB-013 / M1-RN-ONB-014 / M1-RN-ONB-018|CP-M1-ONB-006|3361:2744|Documento solamente / UI a validar|Aprobado||PD-M1-10|M01-RGL-014 / M01-RGL-008
M1-V47|Procesamiento|Procesamiento fallido|No se puede procesar documento o dato crítico|Pedir nueva carga o completar información clave; registrar fallback/error.|M1-HU-021 / M1-HU-022|CA1-CA3|M1-RN-ONB-025 / M1-RN-ONB-006|CP-M1-ONB-007|3361:2744|Documento solamente / UI a validar|Ajustar|Decisión de Producto cerrada. Ver M1-DP-005. V47 corresponde exclusivamente a un fallo técnico recuperable/transitorio ocurrido después de admitir el documento y durante el procesamiento/análisis. No debe mezclarse con documento no procesable (V40) ni con insuficiencia de datos (V50/V51). Ante V47 no se genera Diagnóstico; se conservan documentos, selección y checkpoint. CTA primario: Reintentar. CTA secundario: Volver a revisión, desde donde el usuario puede reemplazar o agregar documentación; Continuar más tarde puede mantenerse si la capacidad de retoma está disponible. El nuevo intento debe quedar trazado al job original y no duplicar documentos ni datos. Kabeli debe ajustar D/E y precisar M1-RN-ONB-025 sin crear una nueva RN. Además, en la próxima versión Kabeli debe corregir la asociación documental: V47 debe quedar en M1-HU-021 + M1-RN-ONB-025; M1-HU-022 / M1-RN-ONB-006 corresponden a documento no procesable/insuficiencia y no deben permanecer mezclados.|PD-M1-11|M01-RGL-014 / M1-DP-005
M1-V48|Suficiencia|Base suficiente|Documento usable + ingreso y movimientos detectados/confirmados + compromisos o recurrentes + confianza suficiente|Permitir diagnóstico completo; CTA Comenzar diagnóstico.|M1-HU-025|CA1-CA3|M1-RN-ONB-004 / M1-RN-ONB-009 / M1-RN-ONB-011 / M1-RN-ONB-012 / M1-RN-ONB-016|CP-M1-ONB-011|6670:13387|Confirmado Doc + Figma|Aprobado|Corrección de trazabilidad: V48 representa revisión/suficiencia previa al Diagnóstico, no cierre del onboarding. En la próxima versión Kabeli debe retirar de V48 las asociaciones de diagnóstico/cierre (HU-025; RN-ONB-009/011/012/016 según corresponda) y alinearla con revisión/suficiencia (HU-024; M01-RGL-011/012/013). D/E se mantienen.||M01-RGL-011 / M01-RGL-012 / M01-RGL-013 / M1-DP-009
M1-V49|Suficiencia|Datos por confirmar no bloqueantes|Base documental usable y faltantes puntuales que no cambian lectura central|Permitir diagnóstico parcial con advertencia; CTA principal completar y secundario comenzar con esta base cuando corresponda.|M1-HU-026|CA1-CA3|M1-RN-ONB-005 / M1-RN-ONB-008|CP-M1-ONB-012|6459:8169|Confirmado Doc + Figma|Aprobado|||M01-RGL-011 / M01-RGL-012 / M01-RGL-013 / M1-DP-009
M1-V50|Suficiencia|Datos por confirmar críticos|Dato pendiente puede cambiar diagnóstico central|Bloquear diagnóstico parcial hasta confirmar/completar.|M1-HU-027 / M1-HU-023|CA1-CA3|M1-RN-ONB-006 / M1-RN-ONB-007 / M1-RN-ONB-010|CP-M1-ONB-014|3361:2744|Documento solamente / UI a validar|Ajustar|Decisión de Producto cerrada. Ver M1-DP-008 y AX-M1-003. M01-RGL-012 permanece como único gate de suficiencia. Cada indicador conserva detection_status, data_origin, confidence y evidence, pero debe normalizarse primero a sufficient, pending o missing; el gate evalúa luego disponibilidad mínima y criticidad funcional. Falta elemento mínimo obligatorio → blocked; base mínima + pendiente crítico → partial bloqueado; base mínima + solo pendientes no críticos → partial permitido; sin pendientes relevantes → complete. Fronteras documentadas: movimientos recientes pendientes bloquean; pagos recurrentes pendientes pueden permitir parcial cuando ingreso, movimientos y compromisos están suficientemente establecidos; ausencia de instrumentos de pago no bloquea por sí sola. No extrapolar combinaciones no cubiertas por reglas/fixtures. Kabeli debe sustituir la condición subjetiva actual y hacer que E responda al output determinista del gate.|PD-M1-13|M01-RGL-011 / M01-RGL-012 / M01-RGL-013 / M1-DP-008 / M1-DP-009
M1-V51|Suficiencia|Datos clave insuficientes|Falta documento usable, ingreso, movimientos o base mínima de compromisos/pagos|Bloquear diagnóstico; solicitar completar/cargar más información.|M1-HU-027 / M1-HU-023|CA1-CA3|M1-RN-ONB-006 / M1-RN-ONB-007 / M1-RN-ONB-010|CP-M1-ONB-014|6459:8282|Confirmado Doc + Figma|Aprobado|||M01-RGL-011 / M01-RGL-012 / M01-RGL-013 / M1-DP-009
M1-V52|Suficiencia|Sin base documental|No hay documentos o se intenta omitir carga inicial|No habilitar diagnóstico ni ruta manual sustitutiva; CTA cargar documentos.|M1-HU-027 / M1-HU-023|CA1-CA3|M1-RN-ONB-006 / M1-RN-ONB-007 / M1-RN-ONB-010|CP-M1-ONB-014|3361:2744|Documentado / UI a validar|Aprobado|Reutilizar el mismo patrón visual rojo/bloqueante de suficiencia para Sin base documental. Copy: título “Falta información para tu diagnóstico”; bajada “Carga tus documentos para completar la información de tu mes.”; CTA “Cargar documentos”. No habilitar diagnóstico mientras no exista base documental usable.||M01-RGL-012 / M1-DP-009
M1-V53|Diagnóstico|En control|Base suficiente, sin presión principal crítica|Mostrar lectura favorable y una acción dominante.|M1-HU-025|CA2-CA3|M1-RN-ONB-009 / M1-RN-ONB-011 / M1-RN-ONB-012|CP-M1-ONB-011|6670:13628|Confirmado Doc + Figma|Ajustar|Decisión de Producto cerrada. Ver M1-DP-006 y AX-M1-004. V53 aplica cuando M01-RGL-012 habilita Diagnóstico, no existe mora_confirmada y el ratio canónico del snapshot mensual (egreso mensual proyectado / ingreso mensual reconocido) es \< 0,90. Mostrar En control; la presión y CTA se seleccionan posteriormente mediante M01-RGL-015 y no cambian el color por sí solas. Kabeli debe ajustar D/E y M1-RN-ONB-009 para reflejar la regla canónica y su versionamiento.|PD-M1-12|M01-RGL-012 / M01-RGL-015 / M01-RGL-016 / M1-DP-006
